longname,name_TRENDY ,name_CABLE,file,units_TRENDY,units_CABLE,conversion_factor,priority,additional_dimensions,missval,frequency,type,Comments_file_attribute,Comments_other,Changes_v11,New_v12
Carbon Flux from Roots to Litter,fRootLitter,calculate,casa,kg m-2 s-1,g m-2 d-1,mul:1.15740740740741e-08,1,,-99999,monthly,carbon and biogeochem,,calculated as 0.3 * FluxCWoodtolitter + FluxCFineRoottolitter,,
Total Carbon Flux from Litter to Soil,fLitterSoil,calculate,casa,kg m-2 s-1,g m-2 d-1,mul:1.15740740740741e-08,1,,-99999,monthly,carbon and biogeochem,,,,
Total Carbon Flux from Vegetation Directly to Soil,fVegSoil,calculate,casa,kg m-2 s-1,,,1,,-99999,monthly,carbon and biogeochem,not represented in CABLE-POP (set to 0 everywhere),does not exist in CABLE-POP (set to 0 everywhere),,
Carbon Flux from individual soil pools,rhpool,calculate,casa,kg m-2 s-1,,,1,SoilCPool,-99999,monthly,carbon and biogeochem,,,,
Vegtype NPP allocation to leaves,fAllocLeaf,CallocLeaf,casa,kg m-2 s-1,g m-2 d-1,mul:1.15740740740741e-08,1,PFT,-99999,monthly,carbon and biogeochem,,,,
Vegtype NPP allocation to Wood,fAllocWood,CallocWood,casa,kg m-2 s-1,g m-2 d-1,mul:8.101851851851869e-09,1,PFT,-99999,monthly,carbon and biogeochem,,additional factor 0.7 to separate aboveground wood only,,
Vegtype NPP allocation to Root,fAllocRoot,calculate,casa,kg m-2 s-1,g m-2 d-1,mul:1.15740740740741e-08,1,PFT,-99999,monthly,carbon and biogeochem,,calculated as 0.3 * CallocWood + CallocFineRoot,,
CO2 Emission from Cveg due to Fire,fFireCveg,,NA,kg m-2 s-1,,,1,,-99999,monthly,carbon and biogeochem,,,,
CO2 Emission from Litter due to Fire,fFireLitter,,NA,kg m-2 s-1,,,1,,-99999,monthly,carbon and biogeochem,,,,
CO2 Emission from Csoil due to Fire,fFireCsoil,,NA,kg m-2 s-1,,,1,,-99999,monthly,carbon and biogeochem,,,,
Temperature of Soil,tsl,SoilTemp,cable,K,K,,2,stlayer,-99999,monthly,physical,,,,
Moisture of Soil,msl,calculate,cable,kg m-2,m3 m-3,,2,smlayer,-99999,monthly,physical,,,,
Evaporation from Canopy,evspsblveg,ECanop,cable,kg m-2 s-1,kg m-2 s-1,,2,,-99999,monthly,physical,includes sublimation,,,
Water Evaporation from Soil,evspsblsoi,ESoil,cable,kg m-2 s-1,kg m-2 s-1,,2,,-99999,monthly,physical,includes sublimation,,,
Transpiration,tran,TVeg,cable,kg m-2 s-1,kg m-2 s-1,,2,,-99999,monthly,physical,,,,
Vegtype level Skin temperature,tskinpft,VegT,cable,K,K,,2,PFT,-99999,monthly,physical,,,,
Vegtype level soil moisture ,mslpft,SoilMoistPFT,cable,kg m-2,kg m-2,,2,PFT,-99999,monthly,physical,,,,
Vegtype level tree heights,theightpft,hc,cable,m,m,,2,PFT,-99999,annual,physical,,,,
CO2 Flux to Atmosphere from Grazing,fGrazing,,LUC,kg m-2 s-1,,,2,,-99999,monthly,carbon and biogeochem,,,,
CO2 Flux to Atmosphere from Crop Harvesting,fHarvest,,LUC,kg m-2 s-1,,,2,,-99999,monthly,carbon and biogeochem,,,,
Leaf Area Index Daily,dlai,,cable,,,,2,,-99999,daily ,carbon and biogeochem,,,,
Vegtype level irrigation,irripft,,NA,kg m-2 s-1,,,2,PFT,-99999,monthly,carbon and biogeochem,,,,
Nitrogen in Vegetation,nVeg,calculate,casa,kg m-2,g m-2,div:1000,2,,-99999,annual,nitrogen pool,,sum over mplant in nplant,,
Nitrogen in Leaves,nLeaf,calculate,casa,kg m-2,g m-2,div:1000,2,,-99999,annual,nitrogen pool,,,x,x
Nitrogen in Wood,nWood,calculate,casa,kg m-2,g m-2,mul:0.0007,2,,-99999,annual,nitrogen pool,,additional factor 0.7 to separate aboveground wood only,x,x
Nitrogen in Roots,nRoot,calculate,casa,kg m-2,g m-2,div:1000,2,,-99999,annual,nitrogen pool,,calculated as 0.3 * nplant_wood + nplant_froot,x,x
Nitrogen in Litter Pool,nLitter,calculate,casa,kg m-2,g m-2,div:1000,2,,-99999,annual,nitrogen pool,includes above- and belowground litter,sum over mlitter in nlitter,,
Nitrogen in Soil,nSoil,calculate,casa,kg m-2,g m-2,div:1000,2,,-99999,annual,nitrogen pool,belowground litter not included,sum over msoil in nsoil + Nsoilmin,,
Nitrogen Organic in Soil,nOrgSoil,calculate,casa,kg m-2,g m-2,div:1000,2,,-99999,annual,nitrogen pool,belowground litter not included,sum over msoil in nsoil,x,x
Nitrogen Inorganic (NH4+ and NO3-) in Soil,nInorgSoil,Nsoilmin,casa,kg m-2,g m-2,div:1000,2,,-99999,annual,nitrogen pool,belowground litter not included,,x,x
Nitrogen in Products of Land Use Change,nProduct,,NA,kg m-2,,,2,,-99999,annual,nitrogen pool,,check if it is simulated somewhere,,
Nitrogen deposition,fNdep,Nmindep,casa,kg m-2 s-1,g m-2 d-1,mul:1.15740740740741e-08,2,,-99999,monthly,nitrogen flux,,,,
Biological N fixation,fBNF,Nminfix,casa,kg m-2 s-1,g m-2 d-1,mul:1.15740740740741e-08,2,,-99999,monthly,nitrogen flux,,,,
Nitrogen uptake of Vegetation,fNup,Nupland,casa,kg m-2 s-1,g m-2 d-1,mul:1.15740740740741e-08,2,,-99999,monthly,nitrogen flux,,,,
net Nitrogen mineralisation,fNnetmin,Nsnet,casa,kg m-2 s-1,g m-2 d-1,mul:1.15740740740741e-08,2,,-99999,monthly,nitrogen flux,,,,
total ecosystem nitrogen loss,fNloss,calculate,casa,kg m-2 s-1,g m-2 d-1,mul:1.15740740740741e-08,2,,-99999,monthly,nitrogen flux,,Nminloss (volatilisation) + Nminleach (leaching),,
N2O flux,fN2O,,NA,kg m-2 s-1,g m-2 d-1,,2,,-99999,monthly,nitrogen flux,,check if it is somewhere in the model,,
